SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,DAYS_BIRTH,PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MEAN,NUM_PREV_LOANS,HAS_PREV_LOANS
100002,1,Cash loans,M,202500.0,406597.5,-9461,179055.0,179055.0,1.0,1
100003,0,Cash loans,F,270000.0,1293502.5,-16765,551577.375,622113.75,1.5,1
100004,0,Revolving loans,M,67500.0,135000.0,-19046,24282.0,20106.0,1.0,1
100006,0,Cash loans,F,135000.0,312682.5,-19005,345339.945,369047.25,2.25,1
100007,0,Cash loans,M,121500.0,513000.0,-19932,177853.5,197845.5,2.0,1
100008,0,Cash loans,M,99000.0,490495.5,-16941,158288.0625,162704.25,2.5,1
100009,0,Cash loans,F,171000.0,1560726.0,-13778,81467.4375,75573.1875,1.75,1
100010,0,Cash loans,M,360000.0,1530000.0,-18850,247212.0,260811.0,1.0,1
100011,0,Cash loans,F,112500.0,1019610.0,-20099,157810.5,196968.0,1.333333333,1
100012,0,Revolving loans,M,135000.0,405000.0,-14469,43740.0,53362.5,1.333333333,1
100014,0,Cash loans,F,112500.0,652500.0,-10197,96536.25,102834.0,2.0,1
100015,0,Cash loans,F,38419.155,148365.0,-20417,68850.0,67077.0,1.0,1
100016,0,Cash loans,F,67500.0,80865.0,-13439,136724.25,116581.5,1.333333333,1
100017,0,Cash loans,M,225000.0,918468.0,-14086,176665.5,175565.25,1.0,1
100018,0,Cash loans,F,189000.0,773680.5,-14583,215078.9775,209391.7275,2.0,1
100019,0,Cash loans,M,157500.0,299772.0,-8728,84136.5,104683.5,1.0,1
100020,0,Cash loans,M,108000.0,509602.5,-12931,39206.25,41706.0,2.0,1
100021,0,Revolving loans,F,81000.0,270000.0,-9776,40961.25,153615.75,2.0,1
100022,0,Revolving loans,F,112500.0,157500.0,-17718,89091.0,103203.0,1.0,1
100023,0,Cash loans,F,90000.0,544491.0,-11348,88545.0,98702.25,1.333333333,1
100024,0,Revolving loans,M,135000.0,427500.0,-18252,0.0,0.0,0.0,1
100025,0,Cash loans,F,202500.0,1132573.5,-14815,260007.5213,301441.4588,2.0,1
100026,0,Cash loans,F,450000.0,497520.0,-11146,201836.25,219210.75,1.5,1
100027,0,Cash loans,F,83250.0,239850.0,-24827,142830.75,151841.25,1.333333333,1
100029,0,Cash loans,M,135000.0,247500.0,-11286,126000.0,126000.0,1.0,1
100030,0,Cash loans,F,90000.0,225000.0,-19334,30474.76875,28890.39375,3.0,1
100031,1,Cash loans,F,112500.0,979992.0,-18724,0.0,0.0,0.0,1
100032,0,Cash loans,M,112500.0,327024.0,-15948,69255.0,42255.0,1.0,1
100033,0,Cash loans,M,270000.0,790830.0,-9994,53599.5,53329.5,1.0,1
100034,0,Revolving loans,M,90000.0,180000.0,-10341,107977.5,112527.0,1.0,1
100035,0,Cash loans,F,292500.0,665892.0,-15280,165750.7031,170287.2656,5.5,1
100036,0,Cash loans,F,112500.0,512064.0,-11144,82107.625,85235.625,2.666666667,1
100037,0,Cash loans,F,90000.0,199008.0,-12974,125059.5,134200.6875,1.25,1
100039,0,Cash loans,M,360000.0,733315.5,-11694,239598.6825,263190.75,2.0,1
100040,0,Cash loans,F,135000.0,1125000.0,-15997,367200.0,367200.0,1.0,1
100041,0,Cash loans,F,112500.0,450000.0,-12158,37001.25,40281.75,1.0,1
100043,0,Cash loans,F,198000.0,641173.5,-17199,983351.25,1012778.775,2.25,1
100044,0,Cash loans,M,121500.0,454500.0,-21077,323475.0,333306.75,1.333333333,1
100045,0,Cash loans,F,99000.0,247275.0,-23920,237824.25,256481.25,2.0,1
100046,0,Revolving loans,M,180000.0,540000.0,-16126,393750.0,481817.25,1.0,1
100047,1,Cash loans,M,202500.0,1193580.0,-17482,255088.125,334929.9375,3.0,1
100048,0,Cash loans,F,202500.0,604152.0,-16971,399000.0,431201.25,1.333333333,1
100049,1,Cash loans,F,135000.0,288873.0,-13384,36065.25,48877.875,1.25,1
100050,0,Cash loans,F,108000.0,746280.0,-23548,121799.25,121799.25,1.5,1
100051,0,Cash loans,M,202500.0,661702.5,-9827,45540.0,50689.5,1.0,1
100052,0,Revolving loans,F,90000.0,180000.0,-7974,23667.75,25944.75,2.0,1
100053,0,Cash loans,F,202500.0,305221.5,-20373,40000.0,110532.0,1.666666667,1
100054,0,Cash loans,F,99000.0,260640.0,-20121,88822.5,83061.75,1.666666667,1
100055,0,Cash loans,F,130500.0,1350000.0,-19727,73264.5,73975.5,1.0,1
100056,0,Cash loans,M,360000.0,1506816.0,-18264,292230.0,339007.5,1.5,1
100058,0,Revolving loans,F,54000.0,135000.0,-12406,0.0,0.0,0.0,1
100059,0,Cash loans,M,540000.0,675000.0,-18632,207789.7763,236203.4813,4.5,1
100060,0,Cash loans,M,76500.0,454500.0,-12282,180000.0,180000.0,1.0,1
100061,0,Cash loans,F,225000.0,314055.0,-10473,304620.5,326608.0,2.0,1
100062,0,Cash loans,M,81000.0,675000.0,-18611,490125.0,494765.5,3.333333333,1
100063,0,Cash loans,F,180000.0,837427.5,-12955,140718.375,163942.9875,2.25,1
100064,0,Cash loans,F,67500.0,298728.0,-21621,47607.48,47605.5,1.0,1
100068,0,Revolving loans,M,81000.0,247500.0,-18248,82152.0,81742.5,1.0,1
100069,0,Cash loans,M,360000.0,640458.0,-14186,143466.8625,139261.75,2.333333333,1
100070,0,Cash loans,M,540000.0,1227901.5,-20544,149765.445,133715.25,2.0,1
100071,0,Cash loans,F,180000.0,1663987.5,-20121,408946.5,420707.25,1.0,1
100072,0,Cash loans,M,180000.0,1080000.0,-7907,200624.625,195275.625,3.333333333,1
100073,0,Cash loans,M,324000.0,1130760.0,-22843,319473.0,327809.375,3.0,1
100075,0,Cash loans,F,112500.0,95940.0,-12240,107685.0,122695.2,2.333333333,1
100076,0,Cash loans,M,180000.0,315000.0,-13866,0.0,0.0,0.0,1
100077,0,Cash loans,M,180000.0,1256400.0,-12049,36460.425,40477.36875,6.5,1
100078,0,Cash loans,F,180000.0,1035000.0,-19550,374625.0,395316.0,2.75,1
100079,0,Revolving loans,M,225000.0,270000.0,-15359,82402.5,77365.5,3.0,1
100080,0,Revolving loans,F,157500.0,450000.0,-11956,206716.5,233542.35,3.5,1
100081,0,Cash loans,M,180000.0,450000.0,-10848,46755.0,45544.5,1.0,1
100082,0,Cash loans,M,180000.0,450000.0,-12009,561821.4857,589101.6571,5.0,1
100083,0,Cash loans,M,103500.0,573628.5,-15406,68560.5,104206.5,1.0,1
100084,0,Cash loans,M,225000.0,495351.0,-14860,117613.125,139784.625,1.75,1
100085,0,Cash loans,M,157500.0,755190.0,-11187,52891.875,54545.625,1.5,1
100086,0,Cash loans,F,135000.0,675000.0,-14264,51727.23,88987.23,2.333333333,1
100087,0,Cash loans,F,202500.0,1288350.0,-17542,110900.25,107287.875,1.25,1
100088,0,Revolving loans,F,112500.0,135000.0,-19467,346950.0,376677.0,1.0,1
100089,0,Cash loans,M,135000.0,337761.0,-9666,151050.0,170691.75,1.333333333,1
100093,0,Cash loans,F,94500.0,585000.0,-18253,181213.0313,202226.9063,2.5,1
100094,0,Cash loans,F,108000.0,113760.0,-22935,87205.5,69763.5,1.0,1
100095,0,Revolving loans,F,67500.0,135000.0,-18693,37300.5,37300.5,1.5,1
100096,1,Cash loans,F,81000.0,252000.0,-24794,0.0,0.0,0.0,1
100097,0,Cash loans,M,157500.0,760225.5,-17527,87727.5,84354.75,1.0,1
100098,0,Revolving loans,M,225000.0,270000.0,-17390,63353.0,83492.0,2.333333333,1
100099,0,Cash loans,F,360000.0,733315.5,-23032,678828.4463,730688.25,3.0,1
100100,0,Cash loans,M,202500.0,796396.5,-15909,109524.5,141242.0,1.666666667,1
100101,0,Cash loans,F,202500.0,343377.0,-18138,229024.0,234992.5,1.666666667,1
100102,0,Cash loans,F,126000.0,327024.0,-14321,0.0,0.0,0.0,1
100103,0,Cash loans,F,72000.0,450000.0,-21112,112792.5,115200.0,2.0,1
100104,0,Cash loans,F,90000.0,547344.0,-18556,29506.5,26554.5,1.0,1
100105,0,Cash loans,F,193500.0,225000.0,-19810,108907.7625,105055.7625,3.5,1
100108,0,Cash loans,F,171000.0,545040.0,-12780,125955.0,122895.0,1.0,1
100110,0,Cash loans,M,135000.0,373140.0,-10744,68442.75,76599.0,2.0,1
100111,0,Cash loans,F,112500.0,862560.0,-10485,90984.6825,91563.75,3.0,1
100112,1,Cash loans,M,315000.0,953460.0,-10199,52826.25,137059.5,2.0,1
100113,0,Cash loans,M,76500.0,135000.0,-15137,64701.75,64746.75,2.0,1
100114,0,Cash loans,F,135000.0,284400.0,-10734,62842.5,67101.75,1.0,1
100115,0,Cash loans,F,90000.0,315000.0,-15371,49717.5,50565.0,1.333333333,1
100116,0,Cash loans,F,243000.0,900000.0,-14751,251931.45,311480.175,3.75,1
100118,0,Cash loans,F,90000.0,675000.0,-22471,181172.7,169998.75,1.0,1
100119,0,Revolving loans,F,54000.0,180000.0,-11142,34020.0,36715.5,1.0,1
100120,0,Cash loans,F,135000.0,781920.0,-9650,0.0,0.0,1.0,1
100121,0,Cash loans,M,126000.0,787131.0,-16798,34705.485,37009.5,1.0,1
100122,0,Cash loans,F,76500.0,808650.0,-10954,1260000.0,1376668.5,1.333333333,1
100123,0,Cash loans,F,103500.0,675000.0,-23719,226647.75,251298.0,2.0,1
100124,0,Cash loans,M,225000.0,448272.0,-24051,104124.3214,118864.4732,3.25,1
100125,0,Cash loans,F,126000.0,263686.5,-21613,158996.82,156969.0,3.0,1
100126,0,Revolving loans,M,135000.0,180000.0,-12900,180002.25,170624.25,1.0,1
100127,0,Cash loans,M,112500.0,52128.0,-21341,29205.0,176124.375,1.5,1
100129,0,Revolving loans,F,85500.0,135000.0,-9415,0.0,0.0,0.0,1
100130,1,Cash loans,F,157500.0,723996.0,-10526,104991.75,114842.25,1.0,1
100131,0,Cash loans,F,270000.0,891072.0,-13830,112500.0,442028.25,2.0,1
100132,0,Cash loans,F,202500.0,1136439.0,-23656,265531.5,283563.0,1.0,1
100133,0,Cash loans,F,67500.0,384048.0,-9207,48301.5,57214.5,1.0,1
100134,0,Revolving loans,F,202500.0,180000.0,-10085,0.0,0.0,0.0,1
100135,0,Cash loans,M,135000.0,391194.0,-19829,187589.625,236492.7188,3.0,1
100136,0,Cash loans,M,157500.0,1571931.0,-15949,632247.75,666895.5,1.0,1
