iter	Passed	Remaining
0	6	6181
1	12	6316
2	18	6290
3	24	6207
4	31	6364
5	38	6327
6	44	6353
7	50	6311
8	57	6338
9	63	6323
10	70	6335
11	76	6329
12	83	6317
13	89	6310
14	95	6284
15	102	6282
16	108	6295
17	115	6283
18	121	6260
19	128	6284
20	134	6269
21	141	6296
22	147	6281
23	154	6292
24	161	6312
25	171	6432
26	181	6553
27	192	6696
28	200	6724
29	207	6722
30	214	6712
31	221	6692
32	227	6662
33	234	6661
34	241	6648
35	248	6647
36	254	6635
37	261	6626
38	268	6607
39	274	6581
40	281	6576
41	287	6563
42	294	6547
43	300	6523
44	307	6529
45	314	6514
46	320	6491
47	326	6475
48	332	6453
49	342	6513
50	353	6580
51	360	6571
52	370	6614
53	377	6617
54	385	6617
55	391	6606
56	398	6597
57	405	6592
58	412	6577
59	419	6571
60	426	6566
61	432	6545
62	439	6536
63	446	6527
64	453	6522
65	459	6508
66	466	6492
67	472	6481
68	479	6468
69	486	6457
70	492	6443
71	498	6430
72	505	6416
73	513	6430
74	523	6453
75	531	6465
76	540	6476
77	547	6470
78	555	6470
79	562	6464
80	568	6447
81	574	6434
82	581	6427
83	588	6417
84	594	6403
85	601	6392
86	608	6386
87	615	6374
88	621	6362
89	627	6346
90	634	6334
91	640	6325
92	647	6311
93	654	6303
94	660	6291
95	666	6280
96	673	6267
97	683	6295
98	694	6321
99	701	6316
100	710	6327
101	717	6315
102	724	6310
103	731	6298
104	737	6290
105	744	6282
106	751	6272
107	758	6262
108	764	6250
109	771	6238
110	777	6225
111	783	6214
112	790	6203
113	798	6204
114	804	6194
115	811	6183
116	817	6170
117	824	6159
118	833	6172
119	844	6193
120	854	6209
121	864	6219
122	880	6279
123	890	6292
124	899	6298
125	914	6346
126	925	6359
127	940	6404
128	946	6390
129	953	6380
130	960	6369
131	969	6378
132	976	6367
133	983	6356
134	990	6346
135	998	6340
136	1005	6333
137	1012	6325
138	1020	6323
139	1029	6325
140	1036	6312
141	1042	6298
142	1048	6283
143	1055	6275
144	1062	6263
145	1068	6252
146	1075	6239
147	1081	6228
148	1088	6218
149	1094	6204
150	1101	6192
151	1108	6183
152	1114	6170
153	1121	6159
154	1128	6150
155	1134	6137
156	1141	6126
157	1147	6117
158	1154	6104
159	1160	6092
160	1167	6082
161	1173	6069
162	1180	6061
163	1186	6050
164	1195	6052
165	1202	6041
166	1209	6032
167	1215	6019
168	1222	6010
169	1228	5999
170	1235	5992
171	1242	5981
172	1248	5970
173	1255	5960
174	1262	5951
175	1269	5941
176	1275	5930
177	1281	5918
178	1289	5914
179	1295	5902
180	1301	5890
181	1307	5877
182	1314	5867
183	1321	5859
184	1327	5847
185	1334	5838
186	1340	5828
187	1346	5816
188	1352	5804
189	1363	5811
190	1371	5809
191	1378	5800
192	1385	5791
193	1391	5779
194	1397	5771
195	1404	5762
196	1410	5750
197	1417	5741
198	1423	5731
199	1430	5720
200	1436	5709
201	1442	5699
202	1449	5691
203	1456	5682
204	1462	5673
205	1469	5665
206	1476	5657
207	1483	5647
208	1489	5638
209	1498	5635
210	1504	5626
211	1510	5616
212	1517	5605
213	1523	5596
214	1533	5599
215	1539	5588
216	1547	5583
217	1553	5573
218	1560	5564
219	1566	5554
220	1572	5544
221	1579	5534
222	1585	5524
223	1595	5528
224	1604	5527
225	1614	5528
226	1624	5532
227	1638	5546
228	1648	5551
229	1659	5555
230	1672	5567
231	1682	5570
232	1699	5593
233	1707	5588
234	1714	5580
235	1720	5569
236	1727	5561
237	1733	5551
238	1741	5546
239	1753	5552
240	1760	5543
241	1767	5534
242	1773	5525
243	1780	5515
244	1787	5507
245	1794	5498
246	1801	5490
247	1807	5480
248	1814	5472
249	1820	5461
250	1827	5452
251	1833	5443
252	1842	5441
253	1852	5440
254	1861	5438
255	1867	5428
256	1877	5428
257	1884	5418
258	1890	5409
259	1897	5400
260	1904	5391
261	1910	5382
262	1918	5377
263	1925	5366
264	1931	5356
265	1938	5350
266	1945	5339
267	1951	5330
268	1958	5321
269	1965	5314
270	1971	5304
271	1978	5295
272	1984	5284
273	1991	5275
274	1998	5268
275	2005	5259
276	2011	5250
277	2017	5240
278	2024	5231
279	2030	5221
280	2037	5212
281	2046	5209
282	2052	5200
283	2059	5191
284	2065	5182
