SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,DAYS_BIRTH,PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MEAN,NUM_PREV_LOANS,HAS_PREV_LOANS
100002,1,Cash loans,M,202500,406597.5,-9461,179055,179055,1,1
100003,0,Cash loans,F,270000,1293502.5,-16765,551577.375,622113.75,1.5,1
100004,0,Revolving loans,M,67500,135000,-19046,24282,20106,1,1
100006,0,Cash loans,F,135000,312682.5,-19005,345339.945,369047.25,2.25,1
100007,0,Cash loans,M,121500,513000,-19932,177853.5,197845.5,2,1
100008,0,Cash loans,M,99000,490495.5,-16941,158288.0625,162704.25,2.5,1
100009,0,Cash loans,F,171000,1560726,-13778,81467.4375,75573.1875,1.75,1
100010,0,Cash loans,M,360000,1530000,-18850,247212,260811,1,1
100011,0,Cash loans,F,112500,1019610,-20099,157810.5,196968,1.333333333,1
100012,0,Revolving loans,M,135000,405000,-14469,43740,53362.5,1.333333333,1
100014,0,Cash loans,F,112500,652500,-10197,96536.25,102834,2,1
100015,0,Cash loans,F,38419.155,148365,-20417,68850,67077,1,1
100016,0,Cash loans,F,67500,80865,-13439,136724.25,116581.5,1.333333333,1
100017,0,Cash loans,M,225000,918468,-14086,176665.5,175565.25,1,1
100018,0,Cash loans,F,189000,773680.5,-14583,215078.9775,209391.7275,2,1
100019,0,Cash loans,M,157500,299772,-8728,84136.5,104683.5,1,1
100020,0,Cash loans,M,108000,509602.5,-12931,39206.25,41706,2,1
100021,0,Revolving loans,F,81000,270000,-9776,40961.25,153615.75,2,1
100022,0,Revolving loans,F,112500,157500,-17718,89091,103203,1,1
100023,0,Cash loans,F,90000,544491,-11348,88545,98702.25,1.333333333,1
100024,0,Revolving loans,M,135000,427500,-18252,0,0,0,1
100025,0,Cash loans,F,202500,1132573.5,-14815,260007.5213,301441.4588,2,1
100026,0,Cash loans,F,450000,497520,-11146,201836.25,219210.75,1.5,1
100027,0,Cash loans,F,83250,239850,-24827,142830.75,151841.25,1.333333333,1
100029,0,Cash loans,M,135000,247500,-11286,126000,126000,1,1
100030,0,Cash loans,F,90000,225000,-19334,30474.76875,28890.39375,3,1
100031,1,Cash loans,F,112500,979992,-18724,0,0,0,1
100032,0,Cash loans,M,112500,327024,-15948,69255,42255,1,1
100033,0,Cash loans,M,270000,790830,-9994,53599.5,53329.5,1,1
100034,0,Revolving loans,M,90000,180000,-10341,107977.5,112527,1,1
100035,0,Cash loans,F,292500,665892,-15280,165750.7031,170287.2656,5.5,1
100036,0,Cash loans,F,112500,512064,-11144,82107.625,85235.625,2.666666667,1
100037,0,Cash loans,F,90000,199008,-12974,125059.5,134200.6875,1.25,1
100039,0,Cash loans,M,360000,733315.5,-11694,239598.6825,263190.75,2,1
100040,0,Cash loans,F,135000,1125000,-15997,367200,367200,1,1
100041,0,Cash loans,F,112500,450000,-12158,37001.25,40281.75,1,1
100043,0,Cash loans,F,198000,641173.5,-17199,983351.25,1012778.775,2.25,1
100044,0,Cash loans,M,121500,454500,-21077,323475,333306.75,1.333333333,1
100045,0,Cash loans,F,99000,247275,-23920,237824.25,256481.25,2,1
100046,0,Revolving loans,M,180000,540000,-16126,393750,481817.25,1,1
100047,1,Cash loans,M,202500,1193580,-17482,255088.125,334929.9375,3,1
100048,0,Cash loans,F,202500,604152,-16971,399000,431201.25,1.333333333,1
100049,1,Cash loans,F,135000,288873,-13384,36065.25,48877.875,1.25,1
100050,0,Cash loans,F,108000,746280,-23548,121799.25,121799.25,1.5,1
100051,0,Cash loans,M,202500,661702.5,-9827,45540,50689.5,1,1
100052,0,Revolving loans,F,90000,180000,-7974,23667.75,25944.75,2,1
100053,0,Cash loans,F,202500,305221.5,-20373,40000,110532,1.666666667,1
100054,0,Cash loans,F,99000,260640,-20121,88822.5,83061.75,1.666666667,1
100055,0,Cash loans,F,130500,1350000,-19727,73264.5,73975.5,1,1
100056,0,Cash loans,M,360000,1506816,-18264,292230,339007.5,1.5,1
100058,0,Revolving loans,F,54000,135000,-12406,0,0,0,1
100059,0,Cash loans,M,540000,675000,-18632,207789.7763,236203.4813,4.5,1
100060,0,Cash loans,M,76500,454500,-12282,180000,180000,1,1
100061,0,Cash loans,F,225000,314055,-10473,304620.5,326608,2,1
100062,0,Cash loans,M,81000,675000,-18611,490125,494765.5,3.333333333,1
100063,0,Cash loans,F,180000,837427.5,-12955,140718.375,163942.9875,2.25,1
100064,0,Cash loans,F,67500,298728,-21621,47607.48,47605.5,1,1
100068,0,Revolving loans,M,81000,247500,-18248,82152,81742.5,1,1
100069,0,Cash loans,M,360000,640458,-14186,143466.8625,139261.75,2.333333333,1
